occ_code,occ_title,total_employment,employment_prse,mean_wage_prse,mean_annual,mean_annual_topcoded,median_annual,median_annual_topcoded,pct10_annual,pct25_annual,pct75_annual,pct90_annual,year
33-3041,Parking Enforcement Workers,7770,2.3,0.6,51840.0,False,47150.0,False,35410.0,39930.0,61210.0,76030.0,2024
33-3051,Police and Sheriff's Patrol Officers,666990,0.4,0.2,79320.0,False,76290.0,False,47640.0,58980.0,97190.0,115280.0,2024
33-3052,Transit and Railroad Police,3000,2.0,0.9,91820.0,False,82320.0,False,58370.0,65920.0,114040.0,141870.0,2024
33-9011,Animal Control Workers,11790,2.2,0.7,49240.0,False,45830.0,False,32880.0,38160.0,57110.0,69990.0,2024
33-9021,Private Detectives and Investigators,38700,2.4,1.0,61680.0,False,52370.0,False,37250.0,41940.0,75310.0,98770.0,2024
33-9031,Gambling Surveillance Officers and Gambling Investigators,10000,2.1,0.5,46710.0,False,43900.0,False,34020.0,37410.0,50610.0,62360.0,2024
33-9032,Security Guards,1241770,0.5,0.4,42890.0,False,38370.0,False,29800.0,35100.0,46660.0,59580.0,2024
33-9091,Crossing Guards and Flaggers,90180,2.4,1.0,42910.0,False,37700.0,False,29940.0,34280.0,46920.0,61440.0,2024
33-9092,"Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers",143590,2.0,0.5,34700.0,False,33720.0,False,24860.0,28840.0,37750.0,44600.0,2024
33-9093,Transportation Security Screeners,46340,0.8,0.3,61840.0,False,63360.0,False,45010.0,52210.0,69990.0,75940.0,2024
33-9094,School Bus Monitors,72140,1.9,0.5,35270.0,False,34980.0,False,27250.0,31200.0,38840.0,43240.0,2024
33-9099,"Protective Service Workers, All Other",83110,2.6,1.5,48210.0,False,41600.0,False,30620.0,35540.0,54310.0,72670.0,2024
35-1011,Chefs and Head Cooks,182320,2.6,1.0,64720.0,False,60990.0,False,36000.0,47710.0,76790.0,96030.0,2024
35-1012,First-Line Supervisors of Food Preparation and Serving Workers,1187460,0.8,0.5,44900.0,False,42010.0,False,29340.0,35400.0,50920.0,63420.0,2024
35-2011,"Cooks, Fast Food",668230,2.7,0.6,31140.0,False,30160.0,False,22370.0,26540.0,35710.0,38980.0,2024
35-2012,"Cooks, Institution and Cafeteria",448260,0.7,0.4,37310.0,False,36450.0,False,26800.0,30530.0,42860.0,48320.0,2024
35-2013,"Cooks, Private Household",900,32.7,6.3,51290.0,False,44530.0,False,38240.0,42800.0,47150.0,92480.0,2024
35-2014,"Cooks, Restaurant",1452130,1.0,0.4,37730.0,False,36830.0,False,28010.0,31310.0,43610.0,47340.0,2024
35-2015,"Cooks, Short Order",150420,6.0,1.5,35660.0,False,35620.0,False,23770.0,30160.0,39990.0,46010.0,2024
35-2019,"Cooks, All Other",23590,7.4,2.4,38000.0,False,36210.0,False,26430.0,31200.0,42230.0,49600.0,2024
35-2021,Food Preparation Workers,888770,1.5,0.5,33940.0,False,34220.0,False,23490.0,28740.0,37540.0,44260.0,2024
35-3011,Bartenders,745610,1.2,0.8,39880.0,False,33530.0,False,19930.0,25790.0,46790.0,71920.0,2024
35-3023,Fast Food and Counter Workers,3780930,0.7,0.4,31350.0,False,30480.0,False,22620.0,27150.0,35440.0,38800.0,2024
35-3031,Waiters and Waitresses,2302690,0.8,0.7,38360.0,False,33760.0,False,18500.0,25690.0,45350.0,62510.0,2024
35-3041,"Food Servers, Nonrestaurant",271780,1.3,0.5,35030.0,False,34460.0,False,26590.0,29800.0,37550.0,44770.0,2024
35-9011,Dining Room and Cafeteria Attendants and Bartender Helpers,522010,1.6,0.7,34190.0,False,32670.0,False,22260.0,27830.0,36880.0,46380.0,2024
35-9021,Dishwashers,471670,1.5,0.4,33220.0,False,33670.0,False,23960.0,28740.0,36750.0,41600.0,2024
35-9031,"Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop",427150,1.5,0.7,32030.0,False,30380.0,False,22010.0,26630.0,35840.0,42600.0,2024
35-9099,"Food Preparation and Serving Related Workers, All Other",89580,5.2,1.5,35990.0,False,34830.0,False,24040.0,29890.0,38860.0,47360.0,2024
37-1011,First-Line Supervisors of Housekeeping and Janitorial Workers,174660,1.4,0.5,51170.0,False,47520.0,False,34390.0,38600.0,60330.0,74190.0,2024
37-1012,"First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers",124130,2.1,0.7,59380.0,False,56170.0,False,39270.0,46350.0,70320.0,83080.0,2024
37-2011,"Janitors and Cleaners, Except Maids and Housekeeping Cleaners",2199900,0.4,0.3,37460.0,False,35930.0,False,27570.0,30830.0,41650.0,49040.0,2024
37-2012,Maids and Housekeeping Cleaners,854910,0.7,0.3,36180.0,False,34660.0,False,26800.0,29630.0,38510.0,47590.0,2024
37-2019,"Building Cleaning Workers, All Other",16370,7.9,2.8,44150.0,False,42360.0,False,30640.0,35610.0,48400.0,61640.0,2024
37-2021,Pest Control Workers,96110,1.0,0.6,45800.0,False,44730.0,False,32460.0,37060.0,49300.0,61410.0,2024
37-3011,Landscaping and Groundskeeping Workers,943430,0.6,0.3,40880.0,False,38090.0,False,29990.0,35250.0,45870.0,53900.0,2024
37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",25200,5.3,0.9,45960.0,False,45200.0,False,34590.0,38040.0,50960.0,58910.0,2024
37-3013,Tree Trimmers and Pruners,47870,5.5,1.5,54970.0,False,50430.0,False,37660.0,43690.0,63130.0,78900.0,2024
37-3019,"Grounds Maintenance Workers, All Other",13580,7.5,1.2,47180.0,False,43410.0,False,30790.0,37810.0,52830.0,76090.0,2024
39-1013,First-Line Supervisors of Gambling Services Workers,25530,0.8,0.4,62600.0,False,61590.0,False,38360.0,49190.0,74080.0,82370.0,2024
39-1014,"First-Line Supervisors of Entertainment and Recreation Workers, Except Gambling Services",92830,1.6,0.5,51400.0,False,46900.0,False,32960.0,37960.0,60190.0,76430.0,2024
39-1022,First-Line Supervisors of Personal Service Workers,107060,1.6,0.7,50920.0,False,47080.0,False,32150.0,37800.0,59330.0,73800.0,2024
39-2011,Animal Trainers,20110,4.2,2.5,45780.0,False,38750.0,False,29120.0,32870.0,48900.0,70800.0,2024
39-2021,Animal Caretakers,277300,1.3,0.5,34750.0,False,33470.0,False,24500.0,28870.0,37160.0,46480.0,2024
39-3011,Gambling Dealers,82980,1.0,0.5,40420.0,False,33280.0,False,22340.0,24480.0,45430.0,73530.0,2024
39-3012,Gambling and Sports Book Writers and Runners,7600,5.2,1.6,32570.0,False,30460.0,False,22200.0,24960.0,36310.0,45900.0,2024
39-3019,"Gambling Service Workers, All Other",14920,4.7,1.5,37590.0,False,34530.0,False,22880.0,27570.0,38950.0,56740.0,2024
39-3021,Motion Picture Projectionists,1950,9.4,6.2,50290.0,False,38180.0,False,24160.0,29250.0,75380.0,82040.0,2024
39-3031,"Ushers, Lobby Attendants, and Ticket Takers",119210,2.0,0.5,31770.0,False,31150.0,False,22880.0,27140.0,35650.0,40210.0,2024
39-3091,Amusement and Recreation Attendants,371590,1.2,0.4,31350.0,False,30490.0,False,21940.0,26430.0,35360.0,39940.0,2024
39-3092,Costume Attendants,6290,4.9,1.7,65890.0,False,54810.0,False,33610.0,39240.0,83090.0,115240.0,2024
39-3093,"Locker Room, Coatroom, and Dressing Room Attendants",14960,6.1,1.9,36490.0,False,34800.0,False,23530.0,29120.0,41530.0,50790.0,2024
39-3099,"Entertainment Attendants and Related Workers, All Other",8060,7.2,2.5,36180.0,False,34550.0,False,22700.0,28180.0,40360.0,52860.0,2024
39-4011,Embalmers,3420,5.4,1.9,57520.0,False,56280.0,False,35160.0,46160.0,64760.0,78740.0,2024
39-4012,Crematory Operators,2950,5.7,1.6,44790.0,False,42880.0,False,31970.0,35890.0,49800.0,60260.0,2024
39-4021,Funeral Attendants,30560,1.7,0.8,35900.0,False,34610.0,False,26820.0,29420.0,39230.0,46690.0,2024
39-4031,"Morticians, Undertakers, and Funeral Arrangers",25700,2.1,1.0,56340.0,False,49800.0,False,31470.0,38470.0,67140.0,85940.0,2024
39-5011,Barbers,18100,8.6,4.1,47800.0,False,38960.0,False,27770.0,32050.0,59180.0,78440.0,2024
39-5012,"Hairdressers, Hairstylists, and Cosmetologists",295460,1.8,1.2,43460.0,False,35250.0,False,24580.0,29060.0,48300.0,70220.0,2024
39-5091,"Makeup Artists, Theatrical and Performance",3320,24.7,12.6,75410.0,False,50280.0,False,22010.0,28850.0,132530.0,157090.0,2024
39-5092,Manicurists and Pedicurists,147820,1.3,0.8,36910.0,False,34660.0,False,27910.0,31510.0,37660.0,47990.0,2024
39-5093,Shampooers,8890,10.9,2.0,30830.0,False,31470.0,False,22880.0,27390.0,35610.0,35970.0,2024
39-5094,Skincare Specialists,70240,5.0,2.1,48670.0,False,41560.0,False,27160.0,34130.0,55860.0,77330.0,2024
39-6011,Baggage Porters and Bellhops,31220,3.9,1.2,36960.0,False,36020.0,False,25480.0,29830.0,40780.0,48490.0,2024
39-6012,Concierges,44200,4.4,1.2,40770.0,False,37320.0,False,30770.0,33860.0,45700.0,58050.0,2024
39-7010,Tour and Travel Guides,49010,2.7,3.3,43090.0,False,36660.0,False,26890.0,31250.0,45910.0,59930.0,2024
39-9011,Childcare Workers,520180,1.5,0.5,33140.0,False,32050.0,False,22900.0,28000.0,36960.0,44560.0,2024
39-9031,Exercise Trainers and Group Fitness Instructors,303620,1.5,1.0,51360.0,False,46180.0,False,27580.0,34090.0,60920.0,82050.0,2024
39-9032,Recreation Workers,309640,1.2,0.4,37170.0,False,35380.0,False,25640.0,30460.0,41120.0,49460.0,2024
39-9041,Residential Advisors,82810,1.8,0.7,41590.0,False,39180.0,False,28490.0,33890.0,47590.0,58350.0,2024
39-9099,"Personal Care and Service Workers, All Other",62390,4.6,1.2,37990.0,False,37900.0,False,24980.0,32450.0,39190.0,49300.0,2024
41-1011,First-Line Supervisors of Retail Sales Workers,1113160,0.5,0.3,52350.0,False,47320.0,False,31120.0,37580.0,60510.0,76560.0,2024
41-1012,First-Line Supervisors of Non-Retail Sales Workers,219010,1.1,0.6,97870.0,False,84130.0,False,48880.0,62730.0,118190.0,162120.0,2024
41-2011,Cashiers,3148030,0.6,0.2,31810.0,False,31190.0,False,23070.0,27780.0,35410.0,38220.0,2024
41-2012,Gambling Change Persons and Booth Cashiers,21930,2.0,0.8,36820.0,False,34810.0,False,22810.0,28870.0,39350.0,49190.0,2024
41-2021,Counter and Rental Clerks,398620,1.5,0.5,43700.0,False,38540.0,False,28580.0,34200.0,48290.0,62030.0,2024
41-2022,Parts Salespersons,265060,1.0,0.4,42390.0,False,37440.0,False,27770.0,30630.0,48410.0,61750.0,2024
41-2031,Retail Salespersons,3800250,0.3,0.2,37150.0,False,34580.0,False,25600.0,29140.0,37850.0,47930.0,2024
41-3011,Advertising Sales Agents,97470,2.1,1.6,76350.0,False,61460.0,False,33480.0,44980.0,91430.0,133540.0,2024
41-3021,Insurance Sales Agents,469480,1.1,1.3,81510.0,False,60370.0,False,36390.0,45520.0,91150.0,135660.0,2024
41-3031,"Securities, Commodities, and Financial Services Sales Agents",472300,1.2,1.1,110400.0,False,78140.0,False,47080.0,51600.0,129480.0,215210.0,2024
41-3041,Travel Agents,59150,4.4,1.3,52690.0,False,48450.0,False,33280.0,38760.0,60880.0,74160.0,2024
41-3091,"Sales Representatives of Services, Except Advertising, Insurance, Financial Services, and Travel",1189330,0.7,0.5,81260.0,False,66260.0,False,36930.0,47120.0,98780.0,142040.0,2024
41-4011,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",293930,2.0,0.9,114520.0,False,100070.0,False,48840.0,65640.0,146150.0,194890.0,2024
41-4012,"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products",1266860,0.6,0.5,81470.0,False,66780.0,False,37860.0,49040.0,97570.0,134470.0,2024
41-9011,Demonstrators and Product Promoters,64770,5.4,2.0,43730.0,False,37960.0,False,30910.0,33860.0,50100.0,60320.0,2024
41-9012,Models,5350,11.8,6.3,81540.0,False,89990.0,False,38010.0,45760.0,89990.0,124380.0,2024
41-9021,Real Estate Brokers,49590,13.6,3.0,91660.0,False,72280.0,False,36920.0,48200.0,114220.0,166730.0,2024
41-9022,Real Estate Sales Agents,190600,2.3,1.6,70970.0,False,56320.0,False,31940.0,38940.0,85440.0,125140.0,2024
41-9031,Sales Engineers,56690,3.3,1.3,130410.0,False,121520.0,False,70580.0,90690.0,159200.0,202670.0,2024
41-9041,Telemarketers,66430,4.4,1.3,36340.0,False,34410.0,False,24620.0,29120.0,38640.0,48930.0,2024
41-9091,"Door-to-Door Sales Workers, News and Street Vendors, and Related Workers",4590,11.2,4.5,39890.0,False,34530.0,False,23440.0,31200.0,42970.0,55970.0,2024
41-9099,"Sales and Related Workers, All Other",99070,3.5,2.1,57030.0,False,46370.0,False,28060.0,35040.0,66240.0,95850.0,2024
43-1011,First-Line Supervisors of Office and Administrative Support Workers,1495580,0.4,0.2,71560.0,False,66140.0,False,43920.0,53190.0,82340.0,102980.0,2024
43-2011,"Switchboard Operators, Including Answering Service",35730,2.6,0.6,42130.0,False,38370.0,False,29820.0,34250.0,46330.0,60940.0,2024
43-2021,Telephone Operators,3950,6.6,1.1,42880.0,False,39130.0,False,31440.0,35860.0,48530.0,57510.0,2024
43-2099,"Communications Equipment Operators, All Other",1390,9.9,2.1,55890.0,False,49910.0,False,35980.0,44620.0,64310.0,89110.0,2024
43-3011,Bill and Account Collectors,165020,1.6,0.5,48370.0,False,46040.0,False,33960.0,38290.0,54990.0,65830.0,2024
43-3021,Billing and Posting Clerks,417500,1.1,0.3,49490.0,False,47170.0,False,35760.0,40260.0,56350.0,64990.0,2024
43-3031,"Bookkeeping, Accounting, and Auditing Clerks",1455770,0.5,0.2,52020.0,False,49210.0,False,34600.0,41390.0,60220.0,72660.0,2024
43-3041,Gambling Cage Workers,13490,1.1,0.3,38600.0,False,36990.0,False,27940.0,31870.0,43840.0,49350.0,2024
43-3051,Payroll and Timekeeping Clerks,156950,1.4,0.3,56870.0,False,55290.0,False,36670.0,45440.0,65750.0,78830.0,2024
43-3061,Procurement Clerks,59900,1.3,0.3,50430.0,False,48510.0,False,36810.0,41240.0,57680.0,65890.0,2024
43-3071,Tellers,339340,1.3,0.3,40940.0,False,39340.0,False,31270.0,36420.0,45550.0,48270.0,2024
43-3099,"Financial Clerks, All Other",37030,3.0,0.6,55330.0,False,52150.0,False,38770.0,46350.0,61190.0,75860.0,2024
43-4011,Brokerage Clerks,40090,4.0,0.9,67680.0,False,62940.0,False,47730.0,53880.0,77400.0,91650.0,2024
43-4021,Correspondence Clerks,6260,9.0,2.6,46610.0,False,46740.0,False,33530.0,38510.0,52480.0,62200.0,2024
43-4031,"Court, Municipal, and License Clerks",170010,0.8,0.2,51200.0,False,47700.0,False,34860.0,39730.0,59590.0,72370.0,2024
43-4041,"Credit Authorizers, Checkers, and Clerks",11960,4.3,1.2,51270.0,False,49130.0,False,34590.0,40850.0,59530.0,71730.0,2024
43-4051,Customer Service Representatives,2725930,0.4,0.2,45380.0,False,42830.0,False,30690.0,35970.0,50140.0,62730.0,2024
43-4061,"Eligibility Interviewers, Government Programs",156260,1.1,0.3,53970.0,False,51500.0,False,37690.0,43850.0,61680.0,72280.0,2024
43-4071,File Clerks,78980,2.8,0.5,43700.0,False,41270.0,False,29620.0,35120.0,50020.0,61080.0,2024
43-4081,"Hotel, Motel, and Resort Desk Clerks",261430,0.9,0.3,34740.0,False,34270.0,False,26600.0,29210.0,37430.0,44720.0,2024
43-4111,"Interviewers, Except Eligibility and Loan",157310,1.5,0.5,45400.0,False,43830.0,False,31980.0,37380.0,50440.0,60960.0,2024
43-4121,"Library Assistants, Clerical",80070,1.8,0.4,37910.0,False,36010.0,False,25090.0,30190.0,44200.0,52790.0,2024
43-4131,Loan Interviewers and Clerks,173100,4.1,1.1,51050.0,False,48950.0,False,36360.0,42720.0,59520.0,65910.0,2024
43-4141,New Accounts Clerks,38030,3.5,0.6,47610.0,False,46610.0,False,36980.0,40050.0,51510.0,60110.0,2024
43-4151,Order Clerks,83420,3.6,0.5,46270.0,False,44660.0,False,33530.0,38110.0,51890.0,61680.0,2024
43-4161,"Human Resources Assistants, Except Payroll and Timekeeping",92580,1.1,0.3,50950.0,False,49440.0,False,36090.0,42360.0,58560.0,67140.0,2024
43-4171,Receptionists and Information Clerks,964530,0.8,0.2,38480.0,False,37230.0,False,28280.0,32660.0,44070.0,48870.0,2024
43-4181,Reservation and Transportation Ticket Agents and Travel Clerks,127440,1.3,0.4,47720.0,False,41460.0,False,34550.0,37200.0,54930.0,75050.0,2024
43-4199,"Information and Record Clerks, All Other",143910,0.9,0.3,50200.0,False,48360.0,False,34170.0,39610.0,58680.0,68850.0,2024
43-5011,Cargo and Freight Agents,97800,2.2,1.0,55420.0,False,49900.0,False,37240.0,43490.0,62230.0,76350.0,2024
43-5021,Couriers and Messengers,71920,2.9,0.4,40060.0,False,38340.0,False,29880.0,35130.0,44630.0,50590.0,2024
43-5031,Public Safety Telecommunicators,101140,1.4,0.5,54800.0,False,50730.0,False,35640.0,42140.0,62840.0,78110.0,2024
43-5032,"Dispatchers, Except Police, Fire, and Ambulance",211000,1.9,0.4,53150.0,False,48880.0,False,34600.0,40240.0,61520.0,76130.0,2024
43-5041,"Meter Readers, Utilities",19620,3.6,0.9,55810.0,False,49180.0,False,33980.0,39620.0,68030.0,86480.0,2024
43-5051,Postal Service Clerks,78060,0.0,0.0,61070.0,False,61630.0,False,42600.0,55410.0,74050.0,74050.0,2024
43-5052,Postal Service Mail Carriers,336040,0.0,0.0,59880.0,False,57490.0,False,42390.0,46030.0,75300.0,76880.0,2024
43-5053,"Postal Service Mail Sorters, Processors, and Processing Machine Operators",111930,0.0,0.0,58310.0,False,56530.0,False,42600.0,47380.0,72970.0,74050.0,2024
43-5061,"Production, Planning, and Expediting Clerks",385000,0.9,0.2,60420.0,False,57770.0,False,38570.0,46600.0,71480.0,84810.0,2024
43-5071,"Shipping, Receiving, and Inventory Clerks",857630,0.6,0.2,44890.0,False,43190.0,False,32900.0,37040.0,49390.0,60300.0,2024
43-5111,"Weighers, Measurers, Checkers, and Samplers, Recordkeeping",49720,1.8,0.4,46660.0,False,45650.0,False,34580.0,38650.0,53060.0,60120.0,2024
43-6011,Executive Secretaries and Executive Administrative Assistants,472770,1.1,0.3,77060.0,False,74260.0,False,48300.0,60000.0,90440.0,107710.0,2024
43-6012,Legal Secretaries and Administrative Assistants,154540,3.0,2.6,60320.0,False,54140.0,False,35530.0,42720.0,72090.0,87660.0,2024
43-6013,Medical Secretaries and Administrative Assistants,830760,0.7,0.2,45580.0,False,44640.0,False,35050.0,37880.0,49720.0,60050.0,2024
43-6014,"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive",1737820,1.0,0.2,47640.0,False,46290.0,False,31600.0,37770.0,55650.0,64150.0,2024
43-9021,Data Entry Keyers,135280,2.0,0.5,42070.0,False,39850.0,False,30100.0,34900.0,47260.0,56930.0,2024
43-9022,Word Processors and Typists,36030,2.8,0.9,49730.0,False,47850.0,False,35300.0,39740.0,56000.0,64370.0,2024
43-9031,Desktop Publishers,4000,7.5,2.1,60250.0,False,53620.0,False,34650.0,42680.0,71990.0,92880.0,2024
43-9041,Insurance Claims and Policy Processing Clerks,229070,1.5,0.4,51980.0,False,48450.0,False,36900.0,41600.0,59500.0,73100.0,2024
43-9051,"Mail Clerks and Mail Machine Operators, Except Postal Service",62730,2.5,0.5,40200.0,False,38150.0,False,29460.0,34440.0,44940.0,52150.0,2024
43-9061,"Office Clerks, General",2510550,0.4,0.1,45470.0,False,43630.0,False,29120.0,35350.0,52560.0,63840.0,2024
43-9071,"Office Machine Operators, Except Computer",24740,5.1,1.1,41620.0,False,39020.0,False,29850.0,34420.0,46680.0,56340.0,2024
43-9081,Proofreaders and Copy Markers,5160,9.3,1.7,52730.0,False,49210.0,False,33530.0,38590.0,62380.0,78040.0,2024
43-9111,Statistical Assistants,5900,5.7,1.4,55470.0,False,51440.0,False,38050.0,45970.0,63620.0,79410.0,2024
43-9199,"Office and Administrative Support Workers, All Other",195890,1.5,0.3,48700.0,False,46040.0,False,30480.0,35390.0,57500.0,71840.0,2024
45-1011,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",29530,2.4,0.9,63360.0,False,59330.0,False,39610.0,47660.0,76640.0,90840.0,2024
45-2011,Agricultural Inspectors,12090,2.6,0.6,55650.0,False,50990.0,False,37440.0,42740.0,64960.0,80240.0,2024
45-2021,Animal Breeders,1730,17.4,5.4,56150.0,False,52000.0,False,37130.0,43310.0,59630.0,89970.0,2024
45-2041,"Graders and Sorters, Agricultural Products",26870,4.0,0.7,36080.0,False,35430.0,False,30490.0,33550.0,38010.0,43280.0,2024
45-2091,Agricultural Equipment Operators,30940,3.3,0.8,43920.0,False,42580.0,False,31240.0,36640.0,48690.0,57790.0,2024
45-2092,"Farmworkers and Laborers, Crop, Nursery, and Greenhouse",261690,1.1,0.5,37850.0,False,35690.0,False,32260.0,34280.0,38950.0,46370.0,2024
45-2093,"Farmworkers, Farm, Ranch, and Aquacultural Animals",35420,3.0,0.9,38580.0,False,36150.0,False,27110.0,31220.0,44280.0,51840.0,2024
45-2099,"Agricultural Workers, All Other",4980,7.7,2.3,45780.0,False,40390.0,False,27860.0,33870.0,52730.0,76730.0,2024
45-4011,Forest and Conservation Workers,5630,4.2,1.0,42830.0,False,43680.0,False,33050.0,36400.0,45200.0,54190.0,2024
45-4021,Fallers,4110,9.3,2.7,59120.0,False,53900.0,False,35620.0,43670.0,65040.0,84510.0,2024
45-4022,Logging Equipment Operators,22520,2.3,0.9,52020.0,False,49210.0,False,35050.0,43750.0,60640.0,72280.0,2024
45-4023,Log Graders and Scalers,3310,5.8,1.3,48130.0,False,46710.0,False,35050.0,38390.0,56200.0,63370.0,2024
45-4029,"Logging Workers, All Other",2160,7.5,1.7,53820.0,False,52000.0,False,37260.0,42010.0,62000.0,72070.0,2024
47-1011,First-Line Supervisors of Construction Trades and Extraction Workers,806080,0.6,0.4,84500.0,False,78690.0,False,51290.0,62400.0,100200.0,126690.0,2024
47-2011,Boilermakers,10170,5.8,1.6,76900.0,False,73340.0,False,48390.0,62230.0,93520.0,107600.0,2024
47-2021,Brickmasons and Blockmasons,53520,3.1,1.0,65390.0,False,60800.0,False,41330.0,49430.0,77290.0,95560.0,2024
47-2022,Stonemasons,8750,6.7,2.0,57220.0,False,51990.0,False,37420.0,44820.0,64120.0,83200.0,2024
47-2031,Carpenters,697740,1.2,0.5,64040.0,False,59310.0,False,38760.0,47550.0,75620.0,98370.0,2024
47-2041,Carpet Installers,14980,6.2,2.1,55860.0,False,49850.0,False,32830.0,39140.0,65530.0,83200.0,2024
47-2042,"Floor Layers, Except Carpet, Wood, and Hard Tiles",24850,5.2,1.7,60550.0,False,54340.0,False,37190.0,44760.0,72390.0,97180.0,2024
47-2043,Floor Sanders and Finishers,4140,12.1,2.3,50880.0,False,49150.0,False,35790.0,41320.0,58230.0,66510.0,2024
47-2044,Tile and Stone Setters,38740,4.1,1.5,57590.0,False,52240.0,False,36140.0,44540.0,64980.0,82960.0,2024
47-2051,Cement Masons and Concrete Finishers,205230,1.6,0.6,59360.0,False,54660.0,False,38290.0,46020.0,65840.0,87620.0,2024
47-2053,Terrazzo Workers and Finishers,1450,20.1,6.5,62330.0,False,57260.0,False,39360.0,46940.0,73490.0,104510.0,2024
47-2061,Construction Laborers,1057660,0.7,0.4,51260.0,False,46730.0,False,34200.0,38100.0,58910.0,77530.0,2024
47-2071,"Paving, Surfacing, and Tamping Equipment Operators",45680,3.4,1.3,58660.0,False,51650.0,False,38030.0,44740.0,66060.0,90110.0,2024
47-2072,Pile Driver Operators,3040,9.9,3.1,79000.0,False,70510.0,False,46690.0,54750.0,103960.0,121990.0,2024
47-2073,Operating Engineers and Other Construction Equipment Operators,469270,0.8,0.4,65180.0,False,58710.0,False,40080.0,47780.0,75750.0,100690.0,2024
47-2081,Drywall and Ceiling Tile Installers,82900,2.2,1.0,62810.0,False,58140.0,False,37810.0,46880.0,72660.0,101380.0,2024
47-2082,Tapers,12500,7.6,2.0,70390.0,False,64700.0,False,43450.0,50780.0,82990.0,106160.0,2024
47-2111,Electricians,742580,0.7,0.5,69630.0,False,62350.0,False,39430.0,48820.0,81730.0,106030.0,2024
47-2121,Glaziers,57000,3.1,1.8,60260.0,False,55440.0,False,37710.0,45530.0,68300.0,98780.0,2024
47-2131,"Insulation Workers, Floor, Ceiling, and Wall",38610,3.5,1.5,53440.0,False,48680.0,False,35950.0,40270.0,60420.0,77160.0,2024
47-2132,"Insulation Workers, Mechanical",25640,5.4,2.2,63540.0,False,57250.0,False,39450.0,47480.0,75300.0,94110.0,2024
47-2141,"Painters, Construction and Maintenance",224180,1.6,0.7,53710.0,False,48660.0,False,36680.0,42510.0,60270.0,76550.0,2024
47-2142,Paperhangers,1520,13.7,3.9,51900.0,False,48260.0,False,35020.0,40930.0,58470.0,69470.0,2024
47-2151,Pipelayers,33580,3.9,1.3,54270.0,False,48710.0,False,36840.0,42320.0,60980.0,80710.0,2024
47-2152,"Plumbers, Pipefitters, and Steamfitters",455940,1.2,0.6,69940.0,False,62970.0,False,40670.0,48860.0,81900.0,105150.0,2024
47-2161,Plasterers and Stucco Masons,20880,5.2,1.6,61000.0,False,56020.0,False,38610.0,46990.0,72210.0,92930.0,2024
47-2171,Reinforcing Iron and Rebar Workers,14140,8.0,2.5,62640.0,False,59280.0,False,39470.0,47300.0,74190.0,95530.0,2024
47-2181,Roofers,136740,1.4,0.8,57090.0,False,50970.0,False,37060.0,45300.0,64010.0,80780.0,2024
47-2211,Sheet Metal Workers,117470,2.0,0.8,66110.0,False,60850.0,False,38030.0,47290.0,79620.0,102680.0,2024
47-2221,Structural Iron and Steel Workers,64720,3.0,1.2,69270.0,False,62700.0,False,42000.0,49090.0,82780.0,107520.0,2024
47-2231,Solar Photovoltaic Installers,28280,5.2,1.6,57380.0,False,51860.0,False,39070.0,46040.0,63020.0,80150.0,2024
47-3011,"Helpers--Brickmasons, Blockmasons, Stonemasons, and Tile and Marble Setters",15660,6.3,1.5,49730.0,False,46480.0,False,35570.0,38600.0,58080.0,68330.0,2024
47-3012,Helpers--Carpenters,24610,7.7,1.9,42080.0,False,41600.0,False,31540.0,35870.0,46780.0,52380.0,2024
47-3013,Helpers--Electricians,64440,3.0,0.9,42900.0,False,39890.0,False,31200.0,36400.0,47520.0,56770.0,2024
47-3014,"Helpers--Painters, Paperhangers, Plasterers, and Stucco Masons",7220,8.0,2.2,40880.0,False,38140.0,False,31360.0,35230.0,45290.0,51720.0,2024
47-3015,"Helpers--Pipelayers, Plumbers, Pipefitters, and Steamfitters",43640,4.0,0.9,41720.0,False,39270.0,False,31050.0,35750.0,46550.0,54860.0,2024
47-3016,Helpers--Roofers,5170,10.1,3.1,42070.0,False,40590.0,False,27780.0,34800.0,47570.0,55310.0,2024
47-3019,"Helpers, Construction Trades, All Other",25510,4.0,1.2,44040.0,False,40760.0,False,31200.0,36400.0,48500.0,59280.0,2024
47-4011,Construction and Building Inspectors,137210,2.0,0.8,76430.0,False,72120.0,False,46560.0,57300.0,92330.0,112320.0,2024
47-4021,Elevator and Escalator Installers and Repairers,23340,6.1,1.7,104860.0,False,106580.0,False,54720.0,76700.0,131740.0,149250.0,2024
47-4031,Fence Erectors,22640,6.5,1.6,50550.0,False,46940.0,False,35090.0,39040.0,57070.0,74660.0,2024
47-4041,Hazardous Materials Removal Workers,50570,2.6,1.2,55740.0,False,48490.0,False,37330.0,42710.0,62150.0,82480.0,2024
47-4051,Highway Maintenance Workers,151750,1.1,0.4,51410.0,False,49070.0,False,35030.0,41540.0,59600.0,69210.0,2024
